,session_name,timestamp,27261,27160,27226,27263
441,f-formation,1630388034,0,0,-1,0
442,f-formation,1630388035,0,0,-1,0
443,f-formation,1630388036,0,0,-1,0
444,f-formation,1630388037,0,0,-1,0
445,f-formation,1630388038,0,0,-1,0
446,f-formation,1630388039,0,0,-1,0
447,f-formation,1630388040,0,0,-1,0
448,f-formation,1630388041,0,0,-1,0
449,f-formation,1630388042,0,0,-1,0
450,f-formation,1630388043,0,0,-1,0
451,f-formation,1630388044,0,0,-1,0
452,f-formation,1630388045,0,0,-1,0
453,f-formation,1630388046,0,0,-1,0
454,f-formation,1630388047,0,0,-1,0
455,f-formation,1630388048,0,0,-1,0
456,f-formation,1630388049,0,0,-1,0
457,f-formation,1630388050,0,0,-1,0
458,f-formation,1630388051,0,0,-1,0
459,f-formation,1630388052,0,0,-1,0
460,f-formation,1630388053,0,0,-1,0
461,f-formation,1630388054,0,0,-1,0
462,f-formation,1630388055,0,0,-1,0
463,f-formation,1630388056,0,0,-1,0
464,f-formation,1630388057,0,0,-1,0
465,f-formation,1630388058,0,0,-1,0
466,f-formation,1630388059,0,0,-1,0
467,f-formation,1630388060,0,0,-1,0
468,f-formation,1630388061,0,0,-1,0
469,f-formation,1630388062,0,0,-1,0
470,f-formation,1630388063,0,0,-1,0
471,f-formation,1630388064,0,0,-1,0
472,f-formation,1630388065,0,0,-1,0
473,f-formation,1630388066,0,0,-1,0
474,f-formation,1630388067,0,0,-1,0
475,f-formation,1630388068,0,0,-1,0
476,f-formation,1630388069,0,0,-1,0
477,f-formation,1630388070,0,0,-1,0
478,f-formation,1630388071,0,0,-1,0
479,f-formation,1630388072,0,0,-1,0
480,f-formation,1630388073,0,0,-1,0
481,f-formation,1630388074,0,0,-1,0
482,f-formation,1630388075,0,0,-1,0
483,f-formation,1630388076,0,0,-1,0
484,f-formation,1630388077,0,0,-1,0
485,f-formation,1630388078,0,0,-1,0
486,f-formation,1630388079,0,0,-1,0
487,f-formation,1630388080,0,0,-1,0
488,f-formation,1630388081,0,0,-1,0
489,f-formation,1630388082,0,0,-1,0
490,f-formation,1630388083,0,0,-1,0
491,f-formation,1630388084,0,0,-1,0
492,f-formation,1630388085,0,0,-1,0
493,f-formation,1630388086,0,0,-1,0
494,f-formation,1630388087,0,0,-1,0
495,f-formation,1630388088,0,0,-1,0
496,f-formation,1630388089,0,0,-1,0
497,f-formation,1630388090,0,0,-1,0
498,f-formation,1630388091,0,0,-1,0
499,f-formation,1630388092,0,0,-1,0
500,f-formation,1630388093,0,0,-1,0
501,f-formation,1630388094,0,0,-1,0
502,f-formation,1630388095,0,0,-1,0
503,f-formation,1630388096,0,0,-1,0
504,f-formation,1630388097,0,0,-1,0
505,f-formation,1630388098,0,0,-1,0
506,f-formation,1630388099,0,0,-1,0
507,f-formation,1630388100,0,0,-1,0
508,f-formation,1630388101,0,0,-1,0
509,f-formation,1630388102,0,0,-1,0
510,f-formation,1630388103,0,0,-1,0
511,f-formation,1630388104,0,0,-1,0
512,f-formation,1630388105,0,0,-1,0
513,f-formation,1630388106,0,0,-1,0
514,f-formation,1630388107,0,0,-1,0
515,f-formation,1630388108,0,0,-1,0
516,f-formation,1630388109,0,0,-1,0
517,f-formation,1630388110,0,0,-1,0
518,f-formation,1630388111,0,0,-1,0
519,f-formation,1630388112,0,0,-1,0
520,f-formation,1630388113,0,0,-1,0
521,f-formation,1630388114,0,0,-1,0
522,f-formation,1630388115,0,0,-1,0
523,f-formation,1630388116,0,0,-1,0
524,f-formation,1630388117,0,0,-1,0
525,f-formation,1630388118,0,0,-1,0
526,f-formation,1630388119,0,0,-1,0
527,f-formation,1630388120,0,0,-1,0
528,f-formation,1630388121,0,0,-1,0
529,f-formation,1630388122,0,0,-1,0
530,f-formation,1630388123,0,0,-1,0
531,f-formation,1630388124,0,0,-1,0
532,f-formation,1630388125,0,0,-1,0
533,f-formation,1630388126,0,0,-1,0
534,f-formation,1630388127,0,0,-1,0
535,f-formation,1630388128,0,0,-1,0
