,timestamp,x,y,yaw,session_name
75,1630388405,4252.453468041829,6310.3604041254885,0.9484906936083658,interpolation
76,1630388406,4248.823626604019,6337.3610668456595,0.9254375995972671,interpolation
77,1630388407,4241.316498603004,6360.734005587985,0.8888417506984981,interpolation
78,1630388408,4249.029950289137,6350.955074566295,0.846970049710863,interpolation
79,1630388409,4258.644303674584,6323.003122502138,1.108096707926841,interpolation
80,1630388410,4278.044775251911,6265.165842876997,1.5057080886379497,interpolation
81,1630388411,4315.042373436137,6023.542362525458,2.3147711848996217,interpolation
82,1630388412,4325.653198561301,5700.319864157626,2.438043771476232,interpolation
83,1630388413,4303.905184609373,5410.120120312464,2.5508027732812653,interpolation
84,1630388414,4289.366625980782,5195.202297107223,2.640562570031689,interpolation
85,1630388415,4181.545461697284,4625.81820699554,3.111454526261371,interpolation
86,1630388416,3954.451097624812,4075.4150526729045,3.5250806124452003,interpolation
87,1630388417,3733.77080971242,3567.324304325739,4.36697104772622,interpolation
88,1630388418,3594.322412936649,3214.092482511379,4.454754013914946,interpolation
89,1630388419,3512.113044389033,3086.9248655392853,4.445762364230051,interpolation
90,1630388420,3348.7538714179263,2908.7656113761823,3.536215567779966,interpolation
91,1630388421,3309.2987316222293,2840.6585248240867,3.2501658042611634,interpolation
92,1630388422,3262.351545367478,2764.8942096830497,2.9703447248055426,interpolation
93,1630388423,3199.2222215882507,2541.822243270076,2.97899998288277,interpolation
94,1630388424,3284.2857137710744,2348.00000054583,3.1587142922330567,interpolation
95,1630388425,3269.1758237667514,2364.025641459506,3.350106232287814,interpolation
96,1630388426,3255.351351253389,2385.135136212721,3.4666216140132127,interpolation
97,1630388427,3257.9487425108973,2408.099013010853,3.3822922650440335,interpolation
98,1630388428,3267.1814708460233,2402.686723986814,3.565673351976183,interpolation
99,1630388429,3276.414199181149,2397.274434962775,3.749054438908333,interpolation
100,1630388430,3285.1717108617263,2398.147621896104,3.912455218097782,interpolation
101,1630388431,3293.2013590006623,2408.6479310008663,4.045253245010955,interpolation
102,1630388432,3282.6372543061434,2382.470586860331,4.079754902189945,interpolation
103,1630388433,3254.467886553019,2339.110088997925,4.0818293570661135,interpolation
